block,feature_id,feature_name,encoded_term,coefficient
treatment,,treatment,treatment,0.0008660550235047074
main,outer_001_feature_001,absolute_lymphocyte_count,absolute_lymphocyte_count:value,0.014033633575255113
main,outer_001_feature_001,absolute_lymphocyte_count,absolute_lymphocyte_count:missing,0.011757456707956734
main,outer_001_feature_002,absolute_neutrophil_count,absolute_neutrophil_count:value,-0.03980087391490722
main,outer_001_feature_002,absolute_neutrophil_count,absolute_neutrophil_count:missing,0.007265674016627869
main,outer_001_feature_003,acetaminophen_administered,acetaminophen_administered:category=Yes,-0.01520970622384177
main,outer_001_feature_003,acetaminophen_administered,acetaminophen_administered:category=No,-0.0016354004931225337
main,outer_001_feature_003,acetaminophen_administered,acetaminophen_administered:category=__missing__,0.01683229984776409
main,outer_001_feature_004,actionable_molecular_alterations,actionable_molecular_alterations:category=Present,-4.532531188273558e-05
main,outer_001_feature_004,actionable_molecular_alterations,actionable_molecular_alterations:category=Absent,-0.0013459288228276668
main,outer_001_feature_004,actionable_molecular_alterations,actionable_molecular_alterations:category=__missing__,0.0013784472655101368
main,outer_001_feature_005,acute_kidney_injury_history,acute_kidney_injury_history:category=Yes,0.004263459196524877
main,outer_001_feature_005,acute_kidney_injury_history,acute_kidney_injury_history:category=No,0.0
main,outer_001_feature_005,acute_kidney_injury_history,acute_kidney_injury_history:category=__missing__,-0.004276266065725143
main,outer_001_feature_006,adjuvant_chemotherapy_administered,adjuvant_chemotherapy_administered:category=Yes,-0.007578932601526299
main,outer_001_feature_006,adjuvant_chemotherapy_administered,adjuvant_chemotherapy_administered:category=No,0.0016241718294272916
main,outer_001_feature_006,adjuvant_chemotherapy_administered,adjuvant_chemotherapy_administered:category=__missing__,0.0059419539028988215
main,outer_001_feature_007,adrenal_metastasis_presence,adrenal_metastasis_presence:category=Present,-4.896891540098776e-05
main,outer_001_feature_007,adrenal_metastasis_presence,adrenal_metastasis_presence:category=Absent,-0.0017327182670164947
main,outer_001_feature_007,adrenal_metastasis_presence,adrenal_metastasis_presence:category=__missing__,0.0017688803132172451
main,outer_001_feature_008,adrenal_nodule_size,adrenal_nodule_size:value,-0.055289268901787945
main,outer_001_feature_008,adrenal_nodule_size,adrenal_nodule_size:missing,0.0010884946273361249
main,outer_001_feature_009,age,age:value,-0.0985712283320011
main,outer_001_feature_009,age,age:missing,0.0013784472655101368
main,outer_001_feature_010,airway_involvement,airway_involvement:category=Present,0.007979478826555695
main,outer_001_feature_010,airway_involvement,airway_involvement:category=Absent,-0.008328621298309358
main,outer_001_feature_010,airway_involvement,airway_involvement:category=__missing__,0.000336335602553415
main,outer_001_feature_011,albuterol_use,albuterol_use:category=Yes,-0.009441614548245129
main,outer_001_feature_011,albuterol_use,albuterol_use:category=No,-0.00034232580292316495
main,outer_001_feature_011,albuterol_use,albuterol_use:category=__missing__,0.00977113348196809
main,outer_001_feature_012,alcohol_use,alcohol_use:value,0.02975196667251367
main,outer_001_feature_012,alcohol_use,alcohol_use:missing,0.007608700066213327
main,outer_001_feature_013,alk_mutation_status,alk_mutation_status:category=Wild Type,-0.009064135406083394
main,outer_001_feature_013,alk_mutation_status,alk_mutation_status:category=Positive,-0.0004123031650607094
main,outer_001_feature_013,alk_mutation_status,alk_mutation_status:category=__missing__,0.00946363170194387
main,outer_001_feature_014,alk_rearrangement_status,alk_rearrangement_status:category=Positive,0.0
main,outer_001_feature_014,alk_rearrangement_status,alk_rearrangement_status:category=Negative,0.006367078241592779
main,outer_001_feature_014,alk_rearrangement_status,alk_rearrangement_status:category=__missing__,-0.006379885110792963
main,outer_001_feature_015,alkaline_phosphatase_level,alkaline_phosphatase_level:value,-0.012472142297652944
main,outer_001_feature_015,alkaline_phosphatase_level,alkaline_phosphatase_level:missing,0.01268708363768499
main,outer_001_feature_016,alt_level,alt_level:value,-0.012864543011865969
main,outer_001_feature_016,alt_level,alt_level:missing,0.0071454011308357745
main,outer_001_feature_017,ambulation_status,ambulation_status:category=Independent,0.04860820850740315
main,outer_001_feature_017,ambulation_status,ambulation_status:category=Assisted,-0.037494933219444096
main,outer_001_feature_017,ambulation_status,ambulation_status:category=Non-ambulatory,-0.0015805579535709102
main,outer_001_feature_017,ambulation_status,ambulation_status:category=__missing__,-0.009545524203588389
main,outer_001_feature_018,anemia_type,anemia_type:category=microcytic,0.0018110916507627951
main,outer_001_feature_018,anemia_type,anemia_type:category=normocytic,-0.009547572947249557
main,outer_001_feature_018,anemia_type,anemia_type:category=macrocytic,0.0014238418275636813
main,outer_001_feature_018,anemia_type,anemia_type:category=__missing__,0.006299832599722866
main,outer_001_feature_019,anticoagulant_use,anticoagulant_use:category=Yes,0.00303878147691139
main,outer_001_feature_019,anticoagulant_use,anticoagulant_use:category=No,0.014271701319114453
main,outer_001_feature_019,anticoagulant_use,anticoagulant_use:category=__missing__,-0.017323289665226022
main,outer_001_feature_020,antidiabetic_use,antidiabetic_use:category=Yes,0.0012679896040992886
main,outer_001_feature_020,antidiabetic_use,antidiabetic_use:category=No,0.0011463094787834349
main,outer_001_feature_020,antidiabetic_use,antidiabetic_use:category=__missing__,-0.0024271059520829317
main,outer_001_feature_021,antihypertensive_use,antihypertensive_use:category=Yes,-0.007921176262328813
main,outer_001_feature_021,antihypertensive_use,antihypertensive_use:category=No,0.001033626483604587
main,outer_001_feature_021,antihypertensive_use,antihypertensive_use:category=__missing__,0.006874742909523999
main,outer_001_feature_022,anxiety_present,anxiety_present:category=Present,-0.017276442823083153
main,outer_001_feature_022,anxiety_present,anxiety_present:category=Absent,0.01624704568941767
main,outer_001_feature_022,anxiety_present,anxiety_present:category=__missing__,0.0010165902644652476
main,outer_001_feature_023,appendectomy_history,appendectomy_history:category=Yes,0.0018069494260252552
main,outer_001_feature_023,appendectomy_history,appendectomy_history:category=No,-0.0030634721690267377
