block,feature_id,feature_name,encoded_term,coefficient
treatment,,treatment,treatment,0.0013852766322516126
main,outer_001_feature_001,absolute_lymphocyte_count,absolute_lymphocyte_count:value,-0.001553576105157884
main,outer_001_feature_001,absolute_lymphocyte_count,absolute_lymphocyte_count:missing,0.01647113849328912
main,outer_001_feature_002,absolute_neutrophil_count,absolute_neutrophil_count:value,-0.037663875065282015
main,outer_001_feature_002,absolute_neutrophil_count,absolute_neutrophil_count:missing,0.008105642013652697
main,outer_001_feature_003,acetaminophen_administered,acetaminophen_administered:category=Yes,-0.018663985231732273
main,outer_001_feature_003,acetaminophen_administered,acetaminophen_administered:category=No,-0.0015983030178068666
main,outer_001_feature_003,acetaminophen_administered,acetaminophen_administered:category=__missing__,0.020225789202294592
main,outer_001_feature_004,actionable_molecular_alterations,actionable_molecular_alterations:category=Present,0.0002579147416892454
main,outer_001_feature_004,actionable_molecular_alterations,actionable_molecular_alterations:category=Absent,-0.0014281074891199616
main,outer_001_feature_004,actionable_molecular_alterations,actionable_molecular_alterations:category=__missing__,0.0011336937001861947
main,outer_001_feature_005,acute_kidney_injury_history,acute_kidney_injury_history:category=Yes,0.0037912985485304964
main,outer_001_feature_005,acute_kidney_injury_history,acute_kidney_injury_history:category=No,0.0
main,outer_001_feature_005,acute_kidney_injury_history,acute_kidney_injury_history:category=__missing__,-0.003827797595775056
main,outer_001_feature_006,adjuvant_chemotherapy_administered,adjuvant_chemotherapy_administered:category=Yes,-0.008675667407854401
main,outer_001_feature_006,adjuvant_chemotherapy_administered,adjuvant_chemotherapy_administered:category=No,0.0006427082691680751
main,outer_001_feature_006,adjuvant_chemotherapy_administered,adjuvant_chemotherapy_administered:category=__missing__,0.007996460091441804
main,outer_001_feature_007,adrenal_metastasis_presence,adrenal_metastasis_presence:category=Present,-0.00019653103421183067
main,outer_001_feature_007,adrenal_metastasis_presence,adrenal_metastasis_presence:category=Absent,-0.0009313072644122967
main,outer_001_feature_007,adrenal_metastasis_presence,adrenal_metastasis_presence:category=__missing__,0.001091339251379604
main,outer_001_feature_008,adrenal_nodule_size,adrenal_nodule_size:value,-0.05288195631994634
main,outer_001_feature_008,adrenal_nodule_size,adrenal_nodule_size:missing,0.000626355072338517
main,outer_001_feature_009,age,age:value,-0.10722363122652526
main,outer_001_feature_009,age,age:missing,0.0011336937001861947
main,outer_001_feature_010,airway_involvement,airway_involvement:category=Present,0.011334703291930686
main,outer_001_feature_010,airway_involvement,airway_involvement:category=Absent,-0.016849888547989283
main,outer_001_feature_010,airway_involvement,airway_involvement:category=__missing__,0.0054786862088140485
main,outer_001_feature_011,albuterol_use,albuterol_use:category=Yes,-0.011143970162968395
main,outer_001_feature_011,albuterol_use,albuterol_use:category=No,-0.00024203830675263144
main,outer_001_feature_011,albuterol_use,albuterol_use:category=__missing__,0.011349509422476468
main,outer_001_feature_012,alcohol_use,alcohol_use:value,0.030987011497376836
main,outer_001_feature_012,alcohol_use,alcohol_use:missing,0.008209391899004683
